data_czas,tura,korelacja_id,faza,nacja,kategoria_akcji,jednostka_glowna,jednostki_wspierajace,zlozonsc_akcji,wymagana_koordynacja,typ_formacji,przewaga_terenu,oczekiwana_reakcja_wroga,wskazniki_sukcesu,czas_wykonania_ms,liczba_mikro_decyzji,wspolpraca_jednostek,innowacja_taktyczna,ograniczenie_ryzyka,plan_awaryjny_gotowy,budzet_resupply_dostepny,wydane_pe_resupply,pe_na_paliwo,pe_na_cv,paliwo_przed,paliwo_po,cv_przed,cv_po,globalne_pe_pozostalo,calkowita_potrzeba_resupply,typ_akcji,status_walidacji,kod_bledu,zgodnosc_z_regulami,id_jednostki,id_celu,z_hex_q,z_hex_r,do_hex_q,do_hex_r,stosunek_sil,prog,decyzja,powod,najblizszy_osiagalny_dystans,najblizszy_osiagalny_hex_q,najblizszy_osiagalny_hex_r,podpowiedz_przeszkody,prog_dostosowany,powod_resupply
2025-09-19 23:06:10,,N/A,,Niemcy,turn_begin,TURN_START,N/A,N/A,N/A,N/A,N/A,N/A,AI Commander turn started for player 5,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:06:10,N/A,N/A,movement,Unknown,Kontrolowane wycofanie,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,0,21,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,path_planned,N/A,N/A,N/A,Z_Pluton__5_Unterst_tzungs_Bataillon_20250913214038,N/A,45,-15,49,-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:06:10,N/A,N/A,garrison,Unknown,Zajęcie pozycji obronnych,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kp_vacate_blocked,blocked,N/A,N/A,P_Pluton__5_Sch_tzen_Kompanie_20250913214034,N/A,N/A,N/A,42,-14,1.0,N/A,N/A,wartość wysoka lub limit czasu nieprzekroczony,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:06:10,N/A,N/A,garrison,Unknown,Zajęcie pozycji obronnych,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kp_vacate_blocked,blocked,N/A,N/A,Z_Kompania__5_Unterst_tzungs_Bataillon,N/A,N/A,N/A,43,-15,1.0,N/A,N/A,wartość wysoka lub limit czasu nieprzekroczony,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:06:10,N/A,N/A,garrison,Unknown,Zajęcie pozycji obronnych,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kp_vacate_blocked,blocked,N/A,N/A,Z_Pluton__5_Versorgungs_Kompanie,N/A,N/A,N/A,43,-14,1.0,N/A,N/A,wartość wysoka lub limit czasu nieprzekroczony,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:06:10,N/A,N/A,garrison,Unknown,Zajęcie pozycji obronnych,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,kp_vacate_blocked,blocked,N/A,N/A,Z_Pluton__5_Unterst_tzungs_Bataillon,N/A,N/A,N/A,44,-15,1.0,N/A,N/A,wartość wysoka lub limit czasu nieprzekroczony,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:06:10,N/A,N/A,target_selection,Niemcy,target_analysis,N/A,N/A,29,N/A,N/A,N/A,N/A,999,N/A,29,-1,N/A,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:06:11,N/A,N/A,movement,Unknown,Kontrolowane wycofanie,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,0,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,path_planned,N/A,N/A,N/A,P_Pluton__5_Infanterie_Regiment,N/A,37,-17,35,-15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:06:11,,N/A,,Niemcy,adaptive_autonomous,P_Pluton__5_Infanterie_Regiment,N/A,N/A,N/A,N/A,N/A,N/A,"Advanced auto mode: group 1 (strategy: TIED, aggr: 0.5)",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-19 23:06:11,,N/A,,Niemcy,adaptive_autonomous,P_Kompania__5_Infanterie_Regiment,N/A,N/A,N/A,N/A,N/A,N/A,"Advanced auto mode: group 1 (strategy: TIED, aggr: 0.5)",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
