timestamp,component,level,message,context
2025-10-01T00:03:54,GENERAL,DEBUG,Generał Polska (id=1) rozpoczyna turę,
2025-10-01T00:03:54,GENERAL,INFO,Dostępne PE: 65,
2025-10-01T00:03:54,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 2, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:54,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 3, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:54,GENERAL,DEBUG,Podział rezerwy i środków,"{""total_pe"": 65, ""reserve_pe"": 9, ""distributable_pe"": 56}"
2025-10-01T00:03:54,GENERAL,INFO,"Plan dystrybucji: rezerwa=9 PE, dowódcy=56 PE",
2025-10-01T00:03:54,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 2, ""allocated_pe"": 28, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5}"
2025-10-01T00:03:54,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 3, ""allocated_pe"": 28, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5}"
2025-10-01T00:03:54,GENERAL,INFO,Przekazano PE dowódcy,"{""commander_id"": 2, ""allocated_pe"": 28, ""commander_tokens"": 10, ""commander_points_after"": 28, ""reserve_after"": 37}"
2025-10-01T00:03:54,GENERAL,INFO,Przekazano PE dowódcy,"{""commander_id"": 3, ""allocated_pe"": 28, ""commander_tokens"": 10, ""commander_points_after"": 28, ""reserve_after"": 9}"
2025-10-01T00:03:54,GENERAL,DEBUG,Generał kończy turę. Pozostało PE: 9,
2025-10-01T00:03:54,GENERAL,INFO,Stan dowódcy po dystrybucji,"{""commander_id"": 2, ""points"": 28, ""needs"": ""min=10 headroom=5 tokens=10""}"
2025-10-01T00:03:54,GENERAL,INFO,Stan dowódcy po dystrybucji,"{""commander_id"": 3, ""points"": 28, ""needs"": ""min=10 headroom=5 tokens=10""}"
2025-10-01T00:03:55,GENERAL,DEBUG,Generał Niemcy (id=4) rozpoczyna turę,
2025-10-01T00:03:55,GENERAL,INFO,Dostępne PE: 64,
2025-10-01T00:03:55,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 5, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:55,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 6, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:55,GENERAL,DEBUG,Podział rezerwy i środków,"{""total_pe"": 64, ""reserve_pe"": 9, ""distributable_pe"": 55}"
2025-10-01T00:03:55,GENERAL,INFO,"Plan dystrybucji: rezerwa=9 PE, dowódcy=55 PE",
2025-10-01T00:03:55,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 5, ""allocated_pe"": 27, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5}"
2025-10-01T00:03:55,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 6, ""allocated_pe"": 28, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5}"
2025-10-01T00:03:55,GENERAL,INFO,Przekazano PE dowódcy,"{""commander_id"": 5, ""allocated_pe"": 27, ""commander_tokens"": 10, ""commander_points_after"": 27, ""reserve_after"": 37}"
2025-10-01T00:03:55,GENERAL,INFO,Przekazano PE dowódcy,"{""commander_id"": 6, ""allocated_pe"": 28, ""commander_tokens"": 10, ""commander_points_after"": 28, ""reserve_after"": 9}"
2025-10-01T00:03:55,GENERAL,DEBUG,Generał kończy turę. Pozostało PE: 9,
2025-10-01T00:03:55,GENERAL,INFO,Stan dowódcy po dystrybucji,"{""commander_id"": 5, ""points"": 27, ""needs"": ""min=10 headroom=5 tokens=10""}"
2025-10-01T00:03:55,GENERAL,INFO,Stan dowódcy po dystrybucji,"{""commander_id"": 6, ""points"": 28, ""needs"": ""min=10 headroom=5 tokens=10""}"
2025-10-01T00:03:55,GENERAL,DEBUG,Generał Polska (id=1) rozpoczyna turę,
2025-10-01T00:03:55,GENERAL,INFO,Dostępne PE: 28,
2025-10-01T00:03:55,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 2, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:55,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 3, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:55,GENERAL,DEBUG,Podział rezerwy i środków,"{""total_pe"": 28, ""reserve_pe"": 4, ""distributable_pe"": 24}"
2025-10-01T00:03:55,GENERAL,INFO,"Plan dystrybucji: rezerwa=4 PE, dowódcy=24 PE",
2025-10-01T00:03:55,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 2, ""allocated_pe"": 12, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5}"
2025-10-01T00:03:55,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 3, ""allocated_pe"": 12, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5}"
2025-10-01T00:03:55,GENERAL,INFO,Przekazano PE dowódcy,"{""commander_id"": 2, ""allocated_pe"": 12, ""commander_tokens"": 10, ""commander_points_after"": 30, ""reserve_after"": 16}"
2025-10-01T00:03:55,GENERAL,INFO,Przekazano PE dowódcy,"{""commander_id"": 3, ""allocated_pe"": 12, ""commander_tokens"": 10, ""commander_points_after"": 29, ""reserve_after"": 4}"
2025-10-01T00:03:55,GENERAL,DEBUG,Generał kończy turę. Pozostało PE: 4,
2025-10-01T00:03:55,GENERAL,INFO,Stan dowódcy po dystrybucji,"{""commander_id"": 2, ""points"": 30, ""needs"": ""min=10 headroom=5 tokens=10""}"
2025-10-01T00:03:55,GENERAL,INFO,Stan dowódcy po dystrybucji,"{""commander_id"": 3, ""points"": 29, ""needs"": ""min=10 headroom=5 tokens=10""}"
2025-10-01T00:03:56,GENERAL,DEBUG,Generał Niemcy (id=4) rozpoczyna turę,
2025-10-01T00:03:56,GENERAL,INFO,Dostępne PE: 71,
2025-10-01T00:03:56,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 5, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:56,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 6, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:56,GENERAL,DEBUG,Podział rezerwy i środków,"{""total_pe"": 71, ""reserve_pe"": 10, ""distributable_pe"": 61}"
2025-10-01T00:03:56,GENERAL,INFO,"Plan dystrybucji: rezerwa=10 PE, dowódcy=61 PE",
2025-10-01T00:03:56,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 5, ""allocated_pe"": 30, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5}"
2025-10-01T00:03:56,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 6, ""allocated_pe"": 31, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5}"
2025-10-01T00:03:56,GENERAL,INFO,Przekazano PE dowódcy,"{""commander_id"": 5, ""allocated_pe"": 30, ""commander_tokens"": 10, ""commander_points_after"": 47, ""reserve_after"": 41}"
2025-10-01T00:03:56,GENERAL,INFO,Przekazano PE dowódcy,"{""commander_id"": 6, ""allocated_pe"": 31, ""commander_tokens"": 10, ""commander_points_after"": 49, ""reserve_after"": 10}"
2025-10-01T00:03:56,GENERAL,DEBUG,Generał kończy turę. Pozostało PE: 10,
2025-10-01T00:03:56,GENERAL,INFO,Stan dowódcy po dystrybucji,"{""commander_id"": 5, ""points"": 47, ""needs"": ""min=10 headroom=5 tokens=10""}"
2025-10-01T00:03:56,GENERAL,INFO,Stan dowódcy po dystrybucji,"{""commander_id"": 6, ""points"": 49, ""needs"": ""min=10 headroom=5 tokens=10""}"
2025-10-01T00:03:57,GENERAL,DEBUG,Generał Polska (id=1) rozpoczyna turę,
2025-10-01T00:03:57,GENERAL,INFO,Dostępne PE: 63,
2025-10-01T00:03:57,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 2, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:57,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 3, ""token_count"": 9, ""minimum"": 9, ""headroom"": 5, ""baseline"": 9}"
2025-10-01T00:03:57,GENERAL,DEBUG,Podział rezerwy i środków,"{""total_pe"": 63, ""reserve_pe"": 9, ""distributable_pe"": 54}"
2025-10-01T00:03:57,GENERAL,INFO,"Plan dystrybucji: rezerwa=9 PE, dowódcy=54 PE",
2025-10-01T00:03:57,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 2, ""allocated_pe"": 27, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5}"
2025-10-01T00:03:57,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 3, ""allocated_pe"": 27, ""token_count"": 9, ""minimum"": 9, ""headroom"": 5}"
2025-10-01T00:03:57,GENERAL,INFO,Przekazano PE dowódcy,"{""commander_id"": 2, ""allocated_pe"": 27, ""commander_tokens"": 10, ""commander_points_after"": 47, ""reserve_after"": 36}"
2025-10-01T00:03:57,GENERAL,INFO,Przekazano PE dowódcy,"{""commander_id"": 3, ""allocated_pe"": 27, ""commander_tokens"": 9, ""commander_points_after"": 46, ""reserve_after"": 9}"
2025-10-01T00:03:57,GENERAL,DEBUG,Generał kończy turę. Pozostało PE: 9,
2025-10-01T00:03:57,GENERAL,INFO,Stan dowódcy po dystrybucji,"{""commander_id"": 2, ""points"": 47, ""needs"": ""min=10 headroom=5 tokens=10""}"
2025-10-01T00:03:57,GENERAL,INFO,Stan dowódcy po dystrybucji,"{""commander_id"": 3, ""points"": 46, ""needs"": ""min=9 headroom=5 tokens=9""}"
2025-10-01T00:03:57,GENERAL,DEBUG,Generał Niemcy (id=4) rozpoczyna turę,
2025-10-01T00:03:57,GENERAL,INFO,Dostępne PE: 44,
2025-10-01T00:03:57,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 5, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:57,GENERAL,DEBUG,Profil dowódcy,"{""commander_id"": 6, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5, ""baseline"": 10}"
2025-10-01T00:03:57,GENERAL,DEBUG,Podział rezerwy i środków,"{""total_pe"": 44, ""reserve_pe"": 6, ""distributable_pe"": 38}"
2025-10-01T00:03:57,GENERAL,INFO,"Plan dystrybucji: rezerwa=6 PE, dowódcy=38 PE",
2025-10-01T00:03:57,GENERAL,INFO,Planowany przydział dla dowódcy,"{""commander_id"": 5, ""allocated_pe"": 19, ""token_count"": 10, ""minimum"": 10, ""headroom"": 5}"
