timestamp,turn,player_id,action,details
00:00:47,1,5,TURN_START,player_nation=Niemcy|total_tokens=0|captured_kps=0
00:00:47,1,5,VP_INTELLIGENCE,"vp_status={'vp_own': 0, 'vp_enemy': 0, 'vp_gap': 0, 'turn': 1, 'max_turns': 30}|trend_direction=STABLE|threat_level=LOW|opportunities_count=0|recommendations_count=0"
00:00:47,UNKNOWN,UNKNOWN,SCOUT_IDENTIFICATION,total_units=0|scouts_found=0|scout_ids=
00:00:47,UNKNOWN,UNKNOWN,ENEMY_DETECTION,vision_positions=0|total_tokens_checked=52|enemies_detected=0|enemy_nations=
00:00:47,1,5,PHASE1_SUMMARY,total_units=0|scouts_identified=0|scouts_deployed=0|enemies_detected=0|combat_opportunities=0|threat_clusters=0
00:00:47,UNKNOWN,UNKNOWN,SCOUT_IDENTIFICATION,total_units=0|scouts_found=0|scout_ids=
00:00:47,UNKNOWN,UNKNOWN,ENEMY_DETECTION,vision_positions=0|total_tokens_checked=52|enemies_detected=0|enemy_nations=
00:00:47,1,5,PHASE1_SUMMARY,total_units=0|scouts_identified=0|scouts_deployed=0|enemies_detected=0|combat_opportunities=0|threat_clusters=0
00:00:47,1,5,PHASE2_SUMMARY,active_plans=0|new_plans=0|executed_plans=0|aborted_plans=0
00:00:47,1,5,TURN_START,player_nation=Niemcy|total_units=0|available_units=0
00:00:47,1,5,PHASE3_SUMMARY,defenders_assigned=0|kps_covered=0|pe_secure=True|threat_level=0.0|active_plans=0
00:00:47,UNKNOWN,UNKNOWN,SCOUT_IDENTIFICATION,total_units=0|scouts_found=0|scout_ids=
00:00:47,UNKNOWN,UNKNOWN,ENEMY_DETECTION,vision_positions=0|total_tokens_checked=52|enemies_detected=0|enemy_nations=
00:00:47,1,5,PHASE1_SUMMARY,total_units=0|scouts_identified=0|scouts_deployed=0|enemies_detected=0|combat_opportunities=0|threat_clusters=0
00:00:47,UNKNOWN,UNKNOWN,SCOUT_IDENTIFICATION,total_units=0|scouts_found=0|scout_ids=
00:00:47,UNKNOWN,UNKNOWN,ENEMY_DETECTION,vision_positions=0|total_tokens_checked=52|enemies_detected=0|enemy_nations=
00:00:47,1,5,PHASE1_SUMMARY,total_units=0|scouts_identified=0|scouts_deployed=0|enemies_detected=0|combat_opportunities=0|threat_clusters=0
00:00:47,1,5,PHASE2_SUMMARY,active_plans=0|new_plans=0|executed_plans=0|aborted_plans=0
00:00:47,1,5,TURN_START,player_nation=Niemcy|total_units=0|available_units=0
00:00:47,1,5,PHASE3_SUMMARY,defenders_assigned=0|kps_covered=0|pe_secure=True|threat_level=0.0|active_plans=0
00:00:47,UNKNOWN,5,PHASE_4_COMPLETE,request_generated=False|urgency=NONE|requirements=0|priority_areas=
00:00:48,1,6,TURN_START,player_nation=Niemcy|total_tokens=0|captured_kps=0
00:00:48,1,6,VP_INTELLIGENCE,"vp_status={'vp_own': 0, 'vp_enemy': 0, 'vp_gap': 0, 'turn': 1, 'max_turns': 30}|trend_direction=STABLE|threat_level=LOW|opportunities_count=0|recommendations_count=0"
00:00:48,UNKNOWN,UNKNOWN,SCOUT_IDENTIFICATION,total_units=0|scouts_found=0|scout_ids=
00:00:48,UNKNOWN,UNKNOWN,ENEMY_DETECTION,vision_positions=0|total_tokens_checked=52|enemies_detected=0|enemy_nations=
00:00:48,1,6,PHASE1_SUMMARY,total_units=0|scouts_identified=0|scouts_deployed=0|enemies_detected=0|combat_opportunities=0|threat_clusters=0
00:00:48,UNKNOWN,UNKNOWN,SCOUT_IDENTIFICATION,total_units=0|scouts_found=0|scout_ids=
00:00:48,UNKNOWN,UNKNOWN,ENEMY_DETECTION,vision_positions=0|total_tokens_checked=52|enemies_detected=0|enemy_nations=
00:00:48,1,6,PHASE1_SUMMARY,total_units=0|scouts_identified=0|scouts_deployed=0|enemies_detected=0|combat_opportunities=0|threat_clusters=0
00:00:48,1,6,PHASE2_SUMMARY,active_plans=0|new_plans=0|executed_plans=0|aborted_plans=0
00:00:48,1,6,TURN_START,player_nation=Niemcy|total_units=0|available_units=0
00:00:48,1,6,PHASE3_SUMMARY,defenders_assigned=0|kps_covered=0|pe_secure=True|threat_level=0.0|active_plans=0
00:00:48,UNKNOWN,UNKNOWN,SCOUT_IDENTIFICATION,total_units=0|scouts_found=0|scout_ids=
00:00:48,UNKNOWN,UNKNOWN,ENEMY_DETECTION,vision_positions=0|total_tokens_checked=52|enemies_detected=0|enemy_nations=
